17;7267;400;541;000
18;5917;500;547;000
19;4648;500;566;000
20;2085;500;609;000
21;1584;400;608;000
22;571;400;640;000
23;276;300;631;000
0;011;400;627;000
1;003;300;635;000
2;014;300;668;000
3;430;300;676;000
4;1693;300;683;000
5;7257;500;698;000
6;9556;500;687;000
7;9593;500;689;424
8;7493;500;653;1395
9;6014;500;587;1765
10;5629;400;581;2027
11;5805;400;655;2096
12;6698;300;530;2033
13;8029;300;449;1897
14;10008;300;425;1570
15;11217;300;494;926
16;13767;400;619;000
17;15094;400;771;000
18;13952;500;617;000
19;11112;500;599;000
20;10567;500;641;000
21;9908;400;648;000
22;8774;400;801;000
